in:37 out:37 type:2 q:236 itex:61646 ptex:17893 mv:364 misc:3346 fcode:1 bcode:1 mc-var:175198 var:831791 icount:81 skipcount:1769 hbits:55;
in:38 out:38 type:2 q:236 itex:87232 ptex:24932 mv:635 misc:3938 fcode:1 bcode:1 mc-var:269535 var:874195 icount:122 skipcount:1707 hbits:55;
in:39 out:39 type:2 q:236 itex:42554 ptex:19787 mv:431 misc:3269 fcode:1 bcode:1 mc-var:138065 var:841933 icount:77 skipcount:1770 hbits:55;
in:40 out:40 type:2 q:236 itex:77865 ptex:15719 mv:463 misc:3554 fcode:1 bcode:1 mc-var:220066 var:847505 icount:102 skipcount:1742 hbits:55;
in:41 out:41 type:2 q:236 itex:46969 ptex:11157 mv:248 misc:2947 fcode:1 bcode:1 mc-var:146042 var:858915 icount:61 skipcount:1808 hbits:55;
in:42 out:42 type:2 q:236 itex:42894 ptex:13240 mv:282 misc:3009 fcode:1 bcode:1 mc-var:133029 var:851242 icount:63 skipcount:1798 hbits:55;
in:43 out:43 type:2 q:236 itex:86485 ptex:18630 mv:459 misc:3955 fcode:1 bcode:1 mc-var:280025 var:845994 icount:137 skipcount:1713 hbits:55;
in:44 out:44 type:2 q:236 itex:63062 ptex:7206 mv:362 misc:3275 fcode:1 bcode:1 mc-var:189557 var:834257 icount:88 skipcount:1765 hbits:55;
in:45 out:45 type:2 q:236 itex:48381 ptex:18201 mv:275 misc:3200 fcode:1 bcode:1 mc-var:151934 var:831928 icount:76 skipcount:1783 hbits:55;
in:46 out:46 type:2 q:236 itex:36298 ptex:23337 mv:397 misc:3033 fcode:1 bcode:1 mc-var:114466 var:833847 icount:50 skipcount:1794 hbits:55;
in:47 out:47 type:2 q:236 itex:49634 ptex:5342 mv:307 misc:3070 fcode:1 bcode:1 mc-var:135553 var:807829 icount:72 skipcount:1794 hbits:55;
in:48 out:48 type:2 q:236 itex:90260 ptex:5852 mv:251 misc:3638 fcode:1 bcode:1 mc-var:267932 var:882009 icount:123 skipcount:1746 hbits:55;
in:49 out:49 type:2 q:236 itex:170581 ptex:11055 mv:891 misc:5090 fcode:2 bcode:1 mc-var:561735 var:896301 icount:242 skipcount:1587 hbits:55;
in:50 out:50 type:2 q:236 itex:72094 ptex:16569 mv:536 misc:3729 fcode:1 bcode:1 mc-var:218440 var:893373 icount:111 skipcount:1718 hbits:56;
in:51 out:51 type:2 q:236 itex:31583 ptex:8635 mv:278 misc:2793 fcode:1 bcode:1 mc-var:96810 var:890600 icount:43 skipcount:1816 hbits:55;
in:52 out:52 type:2 q:236 itex:164777 ptex:12573 mv:897 misc:5098 fcode:2 bcode:1 mc-var:487612 var:870756 icount:241 skipcount:1590 hbits:55;
in:53 out:53 type:2 q:236 itex:21593 ptex:5645 mv:206 misc:2605 fcode:1 bcode:1 mc-var:64441 var:869194 icount:28 skipcount:1828 hbits:55;
in:54 out:54 type:2 q:236 itex:165436 ptex:13020 mv:768 misc:4905 fcode:2 bcode:1 mc-var:541744 var:895631 icount:226 skipcount:1606 hbits:55;
in:55 out:55 type:2 q:236 itex:49202 ptex:15738 mv:407 misc:3374 fcode:1 bcode:1 mc-var:213817 var:806245 icount:87 skipcount:1749 hbits:55;
in:56 out:56 type:2 q:236 itex:73445 ptex:5918 mv:449 misc:3397 fcode:1 bcode:1 mc-var:186645 var:820816 icount:98 skipcount:1759 hbits:55;
